"Date","Geo Port","Inflation"
"1972-01-05",12520.61,10901.86
"1972-01-06",12565.56,10901.86
"1972-01-07",12622.77,10901.86
"1972-01-10",12618,10901.86
"1972-01-11",12692.99,10901.86
"1972-01-12",12622.87,10901.86
"1972-01-13",12589.73,10901.86
"1972-01-14",12677.6,10901.86
"1972-01-17",12761.89,10901.86
"1972-01-18",12787.16,10901.86
"1972-01-19",12727.72,10901.86
"1972-01-20",12763.46,10901.86
"1972-01-21",12682.21,10901.86
"1972-01-24",12558.77,10901.86
"1972-01-25",12555.57,10901.86
"1972-01-26",12570.67,10901.86
"1972-01-27",12782.3,10901.86
"1972-01-28",12936.27,10901.86
"1972-01-31",12991.24,10901.86
"1972-02-01",13056.39,10903.69
"1972-02-02",13246.43,10905.52
"1972-02-03",13107.51,10907.34
"1972-02-04",13143.12,10909.17
"1972-02-07",13156.24,10914.66
"1972-02-08",13172.18,10916.49
"1972-02-09",13266.24,10918.32
"1972-02-10",13246.52,10920.15
"1972-02-11",13244.91,10921.98
"1972-02-14",13145.35,10927.47
"1972-02-15",13233.58,10929.3
"1972-02-16",13282.2,10931.13
"1972-02-17",13245.11,10932.96
"1972-02-18",13235.06,10934.78
"1972-02-22",13367.56,10942.1
"1972-02-23",13334.31,10943.93
"1972-02-24",13429.89,10945.76
"1972-02-25",13589.14,10947.59
"1972-02-28",13643.2,10953.08
"1972-02-29",13649.82,10954.91
"1972-03-01",13751.35,10955.76
"1972-03-02",13784.85,10956.62
"1972-03-03",13836.61,10957.47
"1972-03-06",13999.23,10960.04
"1972-03-07",13954.19,10960.9
"1972-03-08",13942.55,10961.75
"1972-03-09",13913.22,10962.61
"1972-03-10",13756.78,10963.46
"1972-03-13",13601.11,10966.03
"1972-03-14",13586.98,10966.89
"1972-03-15",13646.87,10967.74
"1972-03-16",13693.89,10968.6
"1972-03-17",13782.92,10969.45
"1972-03-20",13731.6,10972.02
"1972-03-21",13621.16,10972.88
"1972-03-22",13649.54,10973.73
